partitions,par_start,par_end,loci,loci_start,loci_end,genomes,gen_start,gen_end
rps2_2ndpos,207509,208215,,,,,,
rps2_3stpos,207510,208215,,,,,,
rps3_1stpos,208216,208869,,,,,,
rps3_2ndpos,208217,208869,,,,,,
rps3_3stpos,208218,208869,,,,,,
rps4_1stpos,208870,209475,,,,,,
rps4_2ndpos,208871,209475,,,,,,
rps4_3stpos,208872,209475,,,,,,
rps7_1stpos,209476,209940,,,,,,
rps7_2ndpos,209477,209940,,,,,,
rps7_3stpos,209478,209940,,,,,,
rps8_1stpos,209941,210336,,,,,,
rps8_2ndpos,209942,210336,,,,,,
rps8_3stpos,209943,210336,,,,,,
ycf1_1stpos,210337,214494,,,,,,
ycf1_2ndpos,210338,214494,,,,,,
ycf1_3stpos,210339,214494,,,,,,
ycf12_1stpos,214495,214593,,,,,,
ycf12_2ndpos,214496,214593,,,,,,
ycf12_3stpos,214497,214593,,,,,,
ycf2_1stpos,214594,217554,,,,,,
ycf2_2ndpos,214595,217554,,,,,,
ycf2_3stpos,214596,217554,,,,,,
ycf3_1stpos,217555,218058,,,,,,
ycf3_2ndpos,217556,218058,,,,,,
ycf3_3stpos,217557,218058,,,,,,
ycf4_1stpos,218059,218610,,,,,,
ycf4_2ndpos,218060,218610,,,,,,
ycf4_3stpos,218061,218610,,,,,,
ycf66_1stpos,218611,218916,,,,,,
ycf66_2ndpos,218612,218916,,,,,,
ycf66_3stpos,218613,218916,,,,,,
atp1_1stpos,218917,220470,,,,,,
atp1_2ndpos,218918,220470,,,,,,
atp1_3stpos,218919,220470,,,,,,
atp4_1stpos,220471,221019,,,,,,
atp4_2ndpos,220472,221019,,,,,,
atp4_3stpos,220473,221019,,,,,,
atp6_1stpos,221020,221778,,,,,,
atp6_2ndpos,221021,221778,,,,,,
atp6_3stpos,221022,221778,,,,,,
atp8_1stpos,221779,222300,,,,,,
atp8_2ndpos,221780,222300,,,,,,
atp8_3stpos,221781,222300,,,,,,
atp9_1stpos,222301,222426,,,,,,
atp9_2ndpos,222302,222426,,,,,,
atp9_3stpos,222303,222426,,,,,,
ccmB_1stpos,222427,222951,,,,,,
ccmB_2ndpos,222428,222951,,,,,,
ccmB_3stpos,222429,222951,,,,,,
ccmC_1stpos,222952,223707,,,,,,
ccmC_2ndpos,222953,223707,,,,,,
ccmC_3stpos,222954,223707,,,,,,
ccmFC_1stpos,223708,225120,,,,,,
ccmFC_2ndpos,223709,225120,,,,,,
ccmFC_3stpos,223710,225120,,,,,,
ccmFN_1stpos,225121,226881,,,,,,
ccmFN_2ndpos,225122,226881,,,,,,
ccmFN_3stpos,225123,226881,,,,,,
cob_1stpos,226882,228099,,,,,,
cob_2ndpos,226883,228099,,,,,,
cob_3stpos,226884,228099,,,,,,
cox1_1stpos,228100,229686,,,,,,
cox1_2ndpos,228101,229686,,,,,,
cox1_3stpos,228102,229686,,,,,,
cox2_1stpos,229687,230382,,,,,,
cox2_2ndpos,229688,230382,,,,,,
cox2_3stpos,229689,230382,,,,,,
cox3_1stpos,230383,231177,,,,,,
cox3_2ndpos,230384,231177,,,,,,
cox3_3stpos,230385,231177,,,,,,
nad1_1stpos,231178,232161,,,,,,
nad1_2ndpos,231179,232161,,,,,,
nad1_3stpos,231180,232161,,,,,,
nad2_1stpos,232162,233628,,,,,,
nad2_2ndpos,232163,233628,,,,,,
nad2_3stpos,232164,233628,,,,,,
nad3_1stpos,233629,233982,,,,,,
nad3_2ndpos,233630,233982,,,,,,
nad3_3stpos,233631,233982,,,,,,
nad4_1stpos,233983,235467,,,,,,
nad4_2ndpos,233984,235467,,,,,,
nad4_3stpos,233985,235467,,,,,,
nad4L_1stpos,235468,235749,,,,,,
nad4L_2ndpos,235469,235749,,,,,,
nad4L_3stpos,235470,235749,,,,,,
nad5_1stpos,235750,237777,,,,,,
nad5_2ndpos,235751,237777,,,,,,
nad5_3stpos,235752,237777,,,,,,
nad6_1stpos,237778,238380,,,,,,
nad6_2ndpos,237779,238380,,,,,,
nad6_3stpos,237780,238380,,,,,,
nad7_1stpos,238381,239508,,,,,,
nad7_2ndpos,238382,239508,,,,,,
nad7_3stpos,238383,239508,,,,,,
nad9_1stpos,239509,240093,,,,,,
nad9_2ndpos,239510,240093,,,,,,
nad9_3stpos,239511,240093,,,,,,
rpL16_1stpos,240094,240498,,,,,,
rpL16_2ndpos,240095,240498,,,,,,
rpL16_3stpos,240096,240498,,,,,,
rpL2_1stpos,240499,241845,,,,,,
rpL2_2ndpos,240500,241845,,,,,,
rpL2_3stpos,240501,241845,,,,,,
rpL5_1stpos,241846,242391,,,,,,
rpL5_2ndpos,241847,242391,,,,,,
rpL5_3stpos,241848,242391,,,,,,
rpL6_1stpos,242392,242694,,,,,,
rpL6_2ndpos,242393,242694,,,,,,
rpL6_3stpos,242394,242694,,,,,,
rpl10_1stpos,242695,243210,,,,,,
rpl10_2ndpos,242696,243210,,,,,,
rpl10_3stpos,242697,243210,,,,,,
rps1_1stpos,243211,244005,,,,,,
rps1_2ndpos,243212,244005,,,,,,
rps1_3stpos,243213,244005,,,,,,
rps11_1stpos,244006,244350,,,,,,
rps11_2ndpos,244007,244350,,,,,,
rps11_3stpos,244008,244350,,,,,,
rps12_1stpos,244351,244728,,,,,,
rps12_2ndpos,244352,244728,,,,,,
rps12_3stpos,244353,244728,,,,,,
rps13_1stpos,244729,245094,,,,,,
rps13_2ndpos,244730,245094,,,,,,
rps13_3stpos,244731,245094,,,,,,
rps14_1stpos,245095,245391,,,,,,
rps14_2ndpos,245096,245391,,,,,,
rps14_3stpos,245097,245391,,,,,,
rps19_1stpos,245392,245670,,,,,,
rps19_2ndpos,245393,245670,,,,,,
rps19_3stpos,245394,245670,,,,,,
rps2_1stpos,245671,246384,,,,,,
rps2_2ndpos,245672,246384,,,,,,
rps2_3stpos,245673,246384,,,,,,
rps3_1stpos,246385,247929,,,,,,
rps3_2ndpos,246386,247929,,,,,,
rps3_3stpos,246387,247929,,,,,,
rps4_1stpos,247930,248514,,,,,,
rps4_2ndpos,247931,248514,,,,,,
rps4_3stpos,247932,248514,,,,,,
rps7_1stpos,248515,249204,,,,,,
rps7_2ndpos,248516,249204,,,,,,
rps7_3stpos,248517,249204,,,,,,
sdh3_1stpos,249205,249597,,,,,,
sdh3_2ndpos,249206,249597,,,,,,
sdh3_3stpos,249207,249597,,,,,,
sdh4_1stpos,249598,249855,,,,,,
sdh4_2ndpos,249599,249855,,,,,,
sdh4_3stpos,249600,249855,,,,,,
tatC_1stpos,249856,250581,,,,,,
tatC_2ndpos,249857,250581,,,,,,
tatC_3stpos,249858,250581,,,,,,
